programmes,desc,target,link,org
ABLE Transport,Abilities Beyond Limitations And Expectations Limited (ABLE) hopes to ease the transportation challenges faced by persons with disabilities by providing wheelchair accessible vans to shuttle clients from their homes to Agape Village at reasonable rates.,Persons with physically challenged seeking transport,https://able-sg.org/,319264
Acacia Welfare Home [By Sathya Sai Social Service],"Acacia Welfare Home is a welfare Home for the care, reception and rehabilitation of male destitute persons  and a supportive environment for the maintenance and promotion of physical and psychosocial well-being. [By Sathya Sai Social Service]",Destitute males admitted by MSF under the DPA,www.4s.org.sg/,Acacia Home
Achievement Awards Ceremony,Achievement Awards are presented to  Indian students who have demonstrated academic excellence as well as active involvement in co-curricular and community related activities that sets them apart as role models for their peers.,Post-secondary Indian students who are academically excellent and actively involved in co-curricular and community related activities,http://www.siet-trust.org.sg/,Achievement Awards Ceremony
ACN Counselling Education,"Alive Community Network (ACN) offers diploma/advanced diploma in counselling programmes, which are registered with MOE and certified by Australian Counselling Association",Please contact the organisation directly for more details.,http://alive.org.sg/,Alive Community Network
ACN Personal & Premarital Counselling,Alive Community Network (ACN) provides counselling to individuals with relational and emotional programs,Individuals with relational and emotional problems,http://alive.org.sg/,Alive Community Network
ACN Support Group for Befrienders,Alive Community Network (ACN) offers befriending and mentoring services typically target children and youth who are disadvantaged or display at-risk behaviour,Children and youths who are disadvantaged or display at-risk behaviour,http://alive.org.sg/,Alive Community Network
Active Ageing Services @ Wellness Community,"The goal of Shan You Wellness Community is to promote the holistic well-being of our target populations and improve their quality of life through strengthening the five aspects of health: Physical, Intellectual, Social, Spiritual and Emotional Wellness. Shan You Wellness Community is also the outreach arm of Shan You Counselling Centre to render assistance with regard to food rations and free meals.",Seniors and elderly,http://www.shanyou.org.sg/,Shan You Counselling Centre
ADA Caregiver Support Centre (Bendemeer),Alzheimer’s Disease Association (ADA) Caregiver Support Centre provides various support services to family caregivers caring for persons with dementia,Caregivers of persons with dementia,http://alz.org.sg/,"Alzheimer's Disease Association, Singaporee"
ADA Dementia Helpline,"Alzheimer's Disease Association (ADA) - If you are a caregiver or member of the public and need help or information about dementia, please call us at 63770700",Caregivers of persons with dementia,http://alz.org.sg/,"Alzheimer's Disease Association, Singapore"
ADA Family of Wisdom,"FOW is a new initiative in Singapore which Alzheimer’s Disease Association (ADA) is piloting - a programme modelled after the FOW in Taiwan, that seeks to provide a continuum of community care for persons with dementia through the participation of caregivers in shared caregiving yet allowing caregivers to have respite time for themselves",Family caregivers and their loved ones with early to moderate stage dementia,http://alz.org.sg/,ADA Family of Wisdom
ADA New Horizon Centre (Bukit Batok),Alzheimer’s Disease Association (ADA)  manages and supports the New Horizon Centres which provide day care services for people with dementia. The centres also offer an Early Dementia Programme for those at an early stage of dementia.,"Semi-/ambulatory people with dementia without other health-complications, aged 60 and above",http://alz.org.sg/,ADA New Horizon Centre (Bukit Batok)
ADA New Horizon Centre (Jurong Point),Alzheimer’s Disease Association (ADA)  manages and supports the New Horizon Centres which provide day care services for people with dementia. The centres also offer an Early Dementia Programme for those at an early stage of dementia.,"Semi-/ambulatory people with dementia without other health-complications, aged 60 and above",http://alz.org.sg/,ADA New Horizon Centre (Jurong Point)
ADA New Horizon Centre (Tampines),"Alzheimer’s Disease Association (ADA) manages and supports the New Horizon Centre in Tampines which provide day care services for people with dementia. The centre also offer an Early Dementia Programme for those at an early stage of dementia and day rehabilitation centre for people who are recovering from strokes, and who may require follow-up care after their discharge from hospital.","Semi-/ambulatory people with dementia without other health-complications, aged 60 and above",http://alz.org.sg/,ADA New Horizon Centre (Tampines)
ADA New Horizon Centre (Toa Payoh),The Alzheimer's Disease Association manages and supports the New Horizon Centres which provide day care services for people with dementia. The centres also offer an Early Dementia Programme for those at an early stage of dementia.,"Semi-/ambulatory people with dementia without other health-complications, aged 60 and above",http://alz.org.sg/,ADA New Horizon Centre (Toa Payoh)
ADAM Association - Legal Clinic,ADAM Association provides legal information and advice to low income-earning men who need legal assistance but are unable to afford to consult a lawyer on their own.,Men,ADAM Association,Adam association
ADAM Association - Support Group,ADAM Association provide social and emotional support and promote the well-being of individuals with similar identified concerns.,Men,ADAM Association,ADAM Association
Addiction Management Program (AMP),"Ministry of Therapy's AMP provides a holistic treatment for a wide variety of habitual behaviour including alcohol, gambling, gaming, internet and sexual addiction.",People with addiction issues,http://www.ministryoftherapy.com/,Addiction Management Program (AMP)
Administration of Scholarship,Provide financial and material grants and loan to needy persons.,Law undergraduates,http://probono.lawsociety.org.sg/,Administration of Scholarship
Adoption Home Study Report,"Couples who wish to adopt a foreign child (i.e. a child who is not a Singapore Citizen or Singapore Permanent Resident) must undergo a home study by an MSF accredited Social Service Agency. A home study is required to assess the applicants' eligibility and suitability to adopt a child. LCCS helps couples complete the Adoption Home Study Report in our efforts to break the hurt cycle and find a home for the underprivileged children, in turn helping couples fulfil their dreams of parenting.",Potential Adoptive Parents,www.lccs.org.sg,Lutheran Community Care Services
ADRC Caregiver Training,Apex Day Rehabilitation Centre For Elderly (ADRC) offers training for caregivers to have the necessary skills to look after the patients at home,Caregivers of seniors with acute or chronic health issues,https://www.apexrehab.org.sg/,ADRC Caregiver Training
ADRC Day Care,Apex Day Rehabilitation Centre For Elderly (ADRC) aims to provide a period of relief (respite) for the caregivers of long term care patients. Respite care will provide the carers with a well deserve break,Seniors with acute or chronic health issues,https://www.apexrehab.org.sg/,ADRC Day Care
ADRC Day Rehabilitation Centre,Apex Day Rehabilitation Centre For Elderly (ADRC) provide individulised and group therapy sessions on a regular basis. The centre's full-time therapist will prescribe appropriate additional exercise programs to patients who can exercise independently at the Day Centre with only supervision by the Nurse or Therapist Aide,Seniors with acute or chronic health issues,https://www.apexrehab.org.sg/,ADRC Day Rehabilitation Centre
Adullam Life Counselling,"Adullam Life Counselling assesses the debt situation of the help seekers, thereafter helping them determine the most appropriate help approach.",People facing debt issues,http://adullam.org.sg/,Manhattan House
Adullam Life Counselling - Group Therapy,"Adullam Life Counselling conducts weekly group therapy sessions to teach, support and encourage clients when facing and recovering from their debt issues.",Individuals with debt issues and families in financial crisis,http://adullam.org.sg/,Manhattan House
Adullam Life Counselling - MoneyLife Personal Finance Study,"Adullam Life Counselling aims to impart skills and principles on improving one’s financial health by controlling one’s spending, reducing and eliminating debt, saving and investing one’s money. Weekly sessions are held at the premises of Live for Eternity Church, located along Outram Road.",People facing debt issues,http://adullam.org.sg/,Manhattan House
Adventist Home for the Elders,"Adventist Home provides recreation, exercise, medical appointment escort, free monthly medical consultations and counselling sessions",Ambulant seniors requiring little assistance with no health-complications,http://www.adventisthome.org.sg/,Adventist Home for the Elders
ADVOCACY & RESEARCH DEPARTMENT: Child Abuse and Neglect Prevention Talk,"This introductory talk raises awareness on the four types of child abuse – physical, sexual, emotional and neglect. It equips caregivers with the skills to recognise the signs & symptoms of abuse, and to know how to handle suspected abuse concerns","Family, Parents, Caregivers, Educators",n/a,"9 Bishan Place 
#05-02 Junction 8 Office Tower
Singapore 579837"
ADVOCACY & RESEARCH DEPARTMENT: Empowering children with body safety skills (Parents' Talk),Parents and caregivers play an important role in teaching children body safety skills and reinforcing these messages. ,"Body safety skills are part of the essential life skills that young children ought to pick up. It helps children to develop a healthy respect for their bodies, differentiate between good and bad touches and to tell a trusted adult if someone behaves inappropriately towards them. This knowledge will come in handy should children be caught in sexual abuse situations. ",n/a,"9 Bishan Place 
#05-02 Junction 8 Office Tower
Singapore 579837"
ADVOCACY & RESEARCH DEPARTMENT: Empowering children with body safety skills (Teachers Training),The course provides participants with a contextual understanding of child sexual abuse. Participants will also be trained to understand the guidelines and use the tools for handling child sexual abuse disclosures; be equipped to conduct the KidzLive programme to impart body safety skills to children; and be able to carry out follow-up activities to reinforce body safety skills.,Educators,n/a,"9 Bishan Place 
#05-02 Junction 8 Office Tower
Singapore 579837"
ADVOCACY & RESEARCH DEPARTMENT: KidzLive: I Can Protect Myself,"KidzLive is a body safety skills programme that empowers pre-school children to protect themselves from sexual abuse. The programme incorporates interactive elements to teach children to respect their bodies, differentiate between good and bad touches, and to tell a trusted adult if someone behaves in sexually inappropriate ways.",Pre-school children,n/a,"9 Bishan Place 
#05-02 Junction 8 Office Tower
Singapore 579837"
After-Care Programme,The after ­care support programme nurtures incarcerated mothers to be resilient and empowered mothers who walk the journey with their children to create new life patterns and stories.,Incarcerated mothers,http://www.newlifestories.org.sg/,After-Care Programme
Aftercare Ministry,"Upon completion of their sentences, most ex-offenders need help with employment, upgrading of skills and finances. Equally important, they need to develop healthy friendships, support and encouragement to continue their transformation. Their After-Care team offers a ‘prison gate’ ministry, After-Care Centre, education, employment, regular fellowship meetings and support groups.",Children and families of inmates,http://pfs.org.sg/,Aftercare Ministry
Agape Counselling And Training Centre,"The Agape centre provides counselling and care to their target group (i.e. ex-drug addicts, youths-at-risk, disadvantaged children) and their families.  They offer family counselling and youth counselling (Youth Guidance Programme - organises workshops and activities for youths). ",Centre also runs Shine Kids Club which organises academic supplementary activities and non-academic activities for children aged 3-14 years. Majority of the children's mothers or aunts are/were once involved in street level sex work at Geylang or come from surrounding neighbourhood whose parents are struggling domestically or financially. The centre also outreach to foreign workers in Geylang area and provide free food and assistance on a weekly basis.,Agape Counselling And Training Centre,Agape Counselling And Training Centre
Agape Inspires,Agape Inspires by Lakeside Family Services includes the following programmes: (i) Expedition Agape; (ii) Youth Corps Singpaore; and (iii) Youth-Serve.,Youths,http://www.lakeside.org.sg/,Lakeside Family Services Yung Ho
Agape Respite @MDAS,"Agape Respite @MDAS seeks to alleviate the burden shouldered by caregivers by briefly taking over the duty of caring for the member with Muscular Dystrophy while they are at MDAS Centre. This would give the caregivers much needed personal space to attend to their own needs, rejuvenate themselves and prevent burnt-outs in the long run.",Caregivers of persons with disabilities,http://www.mdas.org.sg/,Agape Respite @MDAS
Agape Students Centre,"Agape Students centre provide care and supervision to school-going children aged 7 years (Primary 1) to 14 years (Secondary 2), a conducive environment for the children’s holistic development as well as a place to rest after school hours.",Children aged 7 to 14 years old,https://agapelittleuni.com/,Agape Little Uni
AGCSS Joy Centre Neighbourhood Link,"Assemblies of God Community Services Society (AGCSS) provides assistance to anyone in need . In particular , Joy Centre is a focal point for residents , especially the elderly to come together for activities and community services that will enhance their social well - being and support network",Senior citizens,http://agcss.org.sg/,AGCSS Joy Centre Neighbourhood Link
Aged Psychiatry Community Assessment & Treatment Service (APCATS),APCATS is a community-oriented psychogeriatric outreach service. It has two programmes: APCATS Clinical Service (CS) and Regional Eldercare Agencies Partnership (REAP). ,APCATS Clinical Service (CS) provides assessments and treatments for homebound or frail elderly with mental health disorders.,https://www.imh.com.sg/,IMH
AHL Dementia Day Care Centre,Apex Harmony Lodge (AHL) also provides Day-care programmes. It sits within landscaped gardens and courtyards surrounded by greenery that providing a sense of peace and calmness,Persons with dementia,http://www.apexharmony.org.sg/,AHL Dementia Day Care Centre
Ahuva Good Shepherd,Ahuva Good Shepherd provides nurturing and safe residential care to girls aged between 4 and 16 years old. These girls come from single parent families or from families in which parents are not able to cope with the child and/or experiencing marital discord.,"Girls between 4 to 16 years old, who come from single parent families, families facing marital discord, and families in which parents are unable to cope with the child",http://marymountctr.org.sg/,Good Shepherd Centre
Aidha Ltd,"Aidha provides financial literacy programmes such as money management, computer literacy, leadership and entrepreneurial skills for foreign domestic workers and lower-income women.",Migrant Workers,http://www.aidha.org/,Aidha Ltd
ALIFE Caterpillar Club,"volunteers from Hope Community Services Centre (HCSC) H.E.L.P. serve alongside Lion Befrienders for the needy residents living in Queenstown, Commonwealth and Redhill. Besides weekly home visits, volunteers organise outings for them to places of interest.","Children from disadvantaged families, aged 4 to 12 years",https://www.alife.org.sg/,ALIFE Ltd
ALIFE Counselling Assistance,"ALIFE provides counselling on pregnancy assistance, including pregnancy crises and termination. They also help clients to work through difficult situations through financial and social assistance. The counsellors work in 11 polyclinics.",Adult females,https://www.alife.org.sg/,ALIFE Ltd
ALIFE Public Education,ALIFE organises public talks and events to create awareness towards fertility,Members of the public,https://www.alife.org.sg/,ALIFE Public Education
Alive Social Enterprise Program,"This project is engaging At-risk kids, ex-offenders, senior healthy citizens above 55 years of age who are willing be employed, trained and sent out to paint homes of elderly, handicap, low-income families and even half-way houses that are unable to afford new coats of paint for their homes",Please contact the organisation directly for more details.,http://alive.org.sg/,Alive Community Network
All Saints Home (Hougang),"All Saints Home (Hougang) was started in 1986 Although the home has expanded its capacity and facilities over the years, it remains a homely environment filled with a friendly kampong spirit.",Seniors requiring long-term institutional care,http://allsaintshome.org.sg/,All Saints Home (Hougang)
All Saints Home (Tampines),"All Saints Home (Tampines) is the largest nursing home in terms of capacity and range of services. Services includes (1) Senior Care Centre, (2) Maintenance Day Care, (3) Dementia Day Care, (4) Day Rehabilitation, (5) Centre-based Nursing Care.",Frail and/or physically disabled seniors requiring long-term institutional care,http://allsaintshome.org.sg/,All Saints Home (Tampines)
All Saints Home (Yishun),"All Saints Home (Yishun) opened its door to the first resident on 23 March 2015, and extended its reach to the northern part of Singapore.",Seniors requiring long-term institutional care,http://allsaintshome.org.sg/,All Saints Home (Yishun)
All Saints Home Community Rehabilitation Centre (Yishun),All Saints Home (Yishun) has a Community Rehabilitation Programme that offers individually tailored physiotherapy and occupational therapy for day clients,Seniors living in the community requiring therapy,http://allsaintshome.org.sg/,All Saints Home (Yishun)
All Saints Home Dementia Care Ward (Jurong East),"All Saints Home (Jurong East), which commenced operations in September 2015, is our newest nursing home.",All Saints Home (Jurong East) has a dedicated 49-bedded Dementia Care Ward to care for residents suffering from dementia. The ward also has a Reminiscent Walkway which houses a “mailbox” and a “bus stop” to reignite fond memories of the residents..,http://allsaintshome.org.sg/,All Saints Home Dementia Care Ward (Jurong East)
All Saints Home Integrated Eldercare Services (Tampines),"All Saints Home (Tampines) is the largest nursing home in terms of capacity and range of services. Services includes (1) Senior Care Centre, (2) Maintenance Day Care, (3) Dementia Day Care, (4) Day Rehabilitation, (5) Centre-based Nursing Care.",Seniors living in the community requiring therapy,http://allsaintshome.org.sg/,All Saints Home (Tampines)
AMKFSC - COMNET Senior Services,COMNET's mission is to support vulnerable and low-income seniors to live independently and actively in the community. It aims to empower seniors to seek life satisfaction with the support of community resources.,"COMNET operates a total of four Senior Activity Centres (Rental) (SAC-R) and a Senior Group Home in Sengkang. These centres are supported by case management services under the Senior Activity Centres (Cluster Support) (SAC-CS), Community Case Manager Service (CCMS), Community Resource Engagement and Support Team (CREST) and Befriending Service.",https://www.amkfsc.org.sg/,AMKFSC - COMNET Senior Services
AMKFSC MindCare,"MindCare is a community mental health service within AMKFSC. MindCare aims to respond to the increasing needs for community mental health support. Our team of helping professionals in the community seek to promote mental health resiliency among the clients we serve. Our service is open to all residents residing within Ang Mo Kio, Sin Ming, Bishan, Sengkang and Punggol estates. [Service by AMKFSC Community Services]","Residents residing within Ang Mo Kio, Sin Ming, Bishan, Sengkang and Punggol estates",https://www.amkfsc.org.sg/,AMKFSC Community Services
AMKFSC PSU,"The Psychological Services Unit (PSU) was incepted in 2013 to help clients with psychological health problems and behavioural problems to manage life stressors. The unit uses a holistic approach to empower individuals to help address immediate concerns, build strengths and prepare them to overcome future challenges. [Service by AMKFSC Community Services]",Clients with psychological health problems and behavioural problems,https://www.amkfsc.org.sg/,AMKFSC Community Services
AMKFSC SSF-P,"In December 2016, the Ministry of Social and Family Development (MSF) has appointed AMKFSC Community Services Ltd. under the Safe and Strong Families – Preservation (SSF-P) program. SSF-P is a pilot project that aims to provide intensive in-home services to support and keep families together, preventing unnecessary removal of children from their families.",Families,https://www.amkfsc.org.sg/,AMKFSC Community Services
AMKFSC Transition Plus,"From 2018, the Ministry of Social and Family Development (MSF) has appointed Transition Plus @ Jalan Bukit Merah (TPJBM) as a Transitional Shelter to render temporary shelter services for families with children, who have exhausted all means of accommodation. [Programme by AMKFSC Community Services]","Families with children, who have exhausted all means of accommodation",https://www.amkfsc.org.sg/,AMKFSC Community Services
AMP Adopt a Family & Youth Scheme,The Adopt a Family & Youth Scheme (AFYS) is an all-encompassing scheme that takes on a family-based approach in providing assistance to underprivileged families and encouraged self-reliance within them. Families under AFYS are assisted through economic empowerment and socio-educational programmes. [Scheme by Association of Muslim Professionals (AMP)],"Malay, Muslim family in need of financial and social support",https://www.amp.org.sg/,AMP Adopt a Family & Youth Scheme
AMP Micro Business Programme,"Association of Muslim Professionals (AMP) Micro Business Programme is designed to assist individuals from low-income families to nurture their entrepreneurial spirit by equipping them with trade, business and IT skills to start a home-based business as an alternative source of income for the household. Grants are also be awarded to those who have a viable and sustainable home business model",Muslim individuals from low-income families,http://www.amp.org.sg/,AMP Micro Business Programme
AMP NEU PC Plus Programme,"Association of Muslim Professionals (AMP) partners the Infocomm Development Authority of Singapore (IDA) as a lead agency for the NEU PC Plus Programme, which aims to enable students from low-income families who are studying in national schools to have equal access to infocomm with a PC and broadband at a subsidised rate.",Children from low-income families,http://www.amp.org.sg/,AMP NEU PC Plus Programme
AMP PC Scheme,Association of Muslim Professionals (AMP)-RFS PC Scheme aims to bridge the digital divide by offering subsidised PCs to underprivileged students studying in full-time madrasahs,Underprivileged students studying in full-time madrasahs,http://www.amp.org.sg/,AMP PC Scheme
AMP Ready for School Fund,"Association of Muslim Professionals (AMP) Ready for School (RFS) Fund aims to assist students from less privileged families in their educational pursuit. Assistance under the fund comprises the AMP Education Bursary, the AMP-SCPL STEM Study Award, and other socio-educational assistance.","Malay, Muslim Singapore citizen",https://www.amp.org.sg/,AMP Ready for School Fund
AMP Youth Drop-In Centre,The Centres at both Association Of Muslim Professionals (AMP) @ Pasir Ris and AMP @ Jurong Point offer referrals and counselling for youths. They provide a safe and friendly environment for youths and their parents to discuss and resolve issues,Please contact the organisation directly for more details.,http://www.amp.org.sg/,AMP Youth Drop-In Centre
AMP-Mercu Student Care Centre,"Association of Muslim Professionals (AMP) SCC programme conducted by AMP-Mercu at Fuhua Primary School focuses on four main areas of a child’s development - physical, intellectual, emotional and social also known as PIES.",Primary school students,http://www.amp.org.sg/,AMP-Mercu Student Care Centre
Andrew & Grace Home,Provides temporary refuge particularly for teenage girls who have problems with their families.,"Young female persons beyond parental control, at risk of delinquency, wayward behaviour or abused and neglected",http://www.aghome.org.sg/,Andrew & Grace Home
Ang Mo Kio Family Service Centre,Ang Mo Kio Family Service Centre operates from two locations in the Kebun Baru and Yio Chu Kang Constituencies and support residents facing personal and family-related issues. [Managed by AMKFSC Community Services],Underprivileged and needy families and individiduals,https://www.amkfsc.org.sg/,Ang Mo Kio Family Service Centre
Ang Mo Kio THK Hospital - Day Rehabiliation Centre,The Day Rehabilitation Centre (DRC) is a one-stop multi-disciplinary centre situated within Ang Mo Kio - Thye Hua Kwan (THK) Hospital. We seek to rehabilitate individuals with disabling conditions due to disease or injuries to regain their function and independence,Rehabilitate individuals with disabling conditions due to disease or injuries to regain their function and independence,http://www.amkh.org.sg/,Ang Mo Kio THK Hospital - Day Rehabiliation Centre
Ang Mo Kio THK Hospital - Home Medical & Nursing,"Ang Mo Kio - Thye Hua Kwan (THK) provides home medical and home nursing services such as reviewing and managing chronic medical conditions, post-surgical management, and wound management, are provided to people who has a condition that restricts his ability to leave his home, or a condition where leaving home is medically not advised.",Senior citizens with acute or chronic health issues,http://www.amkh.org.sg/,Ang Mo Kio THK Hospital - Home Medical & Nursing
Anglican Cluster Operator (Jurong East),"Anglican Cluster Operator (Jurong East) team of trained case managers provide social support to seniors with little or no family support and assist them to age-in-place within the community though case managements, counselling and monitoring their well-being through home visitations. [Service by Singapore Anglican Community Services (SACS)]",Frail seniors living with little or no family support in designated units in Jurong East,http://sacs.org.sg/,Anglican Cluster Operator (Jurong East)
Anglican Family Centre,"Anglican Family Centre, operated by Singapore Anglican Community Services (SACS), provides temporary and safe accommodation and supportive service to persons experiencing family violence, and to empower them with healing and hope to re-integrate into community.","The Centre is more than a shelter. It has multi-faceted programmes that look into the client’s psychological, social and financial needs. The Centre aims to rehabilitate and empower our clients, so that they will be able to choose a life for themselves and their children that is free of violence, fear and oppression.",http://sacs.org.sg/,Anglican Family Centre
Anglican Lifestream Services,"At Singapore Anglican Community Services (SACS) Senior Activity Centres, we create a community space for the elderly living in the different neighbourhood, where they can come together and engaged in various social-recreational activities, such as group exercise, art and craft and dancing.",Senior Citizens,http://sacs.org.sg/,Anglican Lifestream Services
Anglican Senior Centres (Hillview),"At Singapore Anglican Community Services (SACS) Senior Activity Centres, we create a community space for the elderly living in the different neighbourhood, where they can come together and engaged in various social-recreational activities, such as group exercise, art and craft and dancing.",Senior Citizens,http://sacs.org.sg/,Anglican Senior Centres (Hillview)
Anglican Senior Centres (Jurong West),"At Singapore Anglican Community Services (SACS) Senior Activity Centres, we create a community space for the elderly living in the different neighbourhood, where they can come together and engaged in various social-recreational activities, such as group exercise, art and craft and dancing.",Senior Citizens,http://www.pecco.org.sg/,Anglican Senior Centre (Jurong West)
Anglican Senior Centres (Yishun),"At Singapore Anglican Community Services (SACS) Senior Activity Centres, we create a community space for the elderly living in the different neighbourhood, where they can come together and engaged in various social-recreational activities, such as group exercise, art and craft and dancing.",Senior Citizens,http://sacs.org.sg/,Anglican Senior Centres (Yishun)
Anglican Senior Group Home (Jurong East),"Anglican Senior Group Home (Jurong East)  provide assistance for frail seniors with little or no family support to age-in-place in HDB rental flats retrofitted with elderly-friendly features. Located at Kampong Glam and Jurong East, each home comprises of 8 and 6 HDD rental units respectively. Each unit will house 3 seniors. [Service by Singapore Anglican Community Services (SACS)]",Frail seniors living with little or no family support in designated units in Jurong East,http://sacs.org.sg/,Anglican Senior Group Home (Jurong East)
ANRC Maintenance Day Care,"ANRC offers 4 programmes which encourage active participation in regaining maximum degree of independence. The programmes include: (1) Active Rehabilitation, (2) Maintenance Rehabilitation, (3) Maintenance Day Care, and (4) Home Rehabilitation.",Persons with disabilities recovering from neurological and orthopaedic conditions,http://anrc.org.sg/,Adventist Nursing and Rehabilitation Centre
ANZA Action,"ANZA Action, the charity arm of ANZA, supports more than 9 charities both with hands on volunteering and through fundraising at our events.","Austrialian, New Zealand expatriate",http://www.anza.org.sg/,ANZA Action
Aoxiang Counselling Service,"Aoxiang Counselling Service provides individual counselling for children, students, adults, senior citizens, family members and those in marriage crisis.",Please contact the organisation directly for more details.,,Aoxiang Counselling Service
Aoxiang Counselling Service - Hotline,Aoxiang Counselling Service provides telephone counselling service to members of the public.,Please contact the organisation directly for more details.,,Aoxiang Counselling Service - Hotline
Apex Harmony Lodge,Apex Harmony Lodge (AHL) is the first purpose-built lodge for Persons with Dementia (PWD) in Singapore.,Persons with dementia,http://www.apexharmony.org.sg/,Apex Harmony Lodge
